<Header file>
"software";"created";"content";"1";
"(aixmParser v2.26.4) ";"2021-06-25T14:09:58.320220";"airspacesCatalog";{"srcAixmFile": "../AIXM4.5_all_FR_OM_2021-06-17.xml", "srcAixmOrigin": "Sia-France", "srcAixmVersion": "4.5", "srcAixmCreated": "2021-05-06T14:48:09.497+02:00", "srcAixmEffective": "2021-06-17T00:00:00.000+02:00"};

<Content>
"zoneType";"groupZone";"vfrZone";"vfrZoneExt";"freeFlightZone";"freeFlightZoneExt";"excludeAirspaceNotCoord";"excludeAirspaceNotFfArea";"geometryType";"excludeAirspaceByFilter";"excludeAirspaceByAlt";"excludeAirspaceByRef";"deltaExt";"potentialFilter4FreeFlightZone";"orgName";"keySrcFile";"GUId";"UId";"id";"srcClass";"srcType";"srcCodeActivity";"srcLocalType";"srcCodeMil";"srcCodeLocInd";"srcName";"class";"type";"codeActivity";"name";"nameV";"desc";"Mhz";"activationCode";"activationDesc";"timeScheduling";"declassifiable";"seeNOTAM";"exceptSAT";"exceptSUN";"exceptHOL";"groundEstimatedHeight";"lowerMin";"lower";"lowerM";"ordinalLowerMinM";"ordinalLowerM";"upperMax";"upper";"upperM";"ordinalUpperMaxM";"ordinalUpperM";"WarningValDistVerLower";"WarningValDistVerUpper";"lowerType";"lowerValue";"lowerUnit";"lowerTypeMnm";"lowerValueMnm";"lowerUnitMnm";"upperType";"upperValue";"upperUnit";"lowerTypeMax";"lowerValueMax";"lowerUnitMax";"use4cfd";
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560403";"LFMH";"";"CTR";;;;;"SAINT ETIENNE";"G";"CTR";;"SAINT ETIENNE";"CTR SAINT ETIENNE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560415";"5001";"";"D-OTHER";;"SIV";;;"PROVENCE";"SIV";"SIV";;"PROVENCE";"PROVENCE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560419";"LFBALE";"";"D-OTHER";;"SIV";;;"BALE";"SIV";"SIV";;"BALE";"BALE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560421";"LFLYON";"";"D-OTHER";;"SIV";;;"LYON";"SIV";"SIV";;"LYON";"LYON";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560431";"NTTB";"";"CTR";;;;;"BORA BORA MOTU MUTE";"G";"CTR";;"BORA BORA MOTU MUTE";"CTR BORA BORA MOTU MUTE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560433";"CTA4654";"";"CTA";;;;;"TOULON";"G";"CTA";;"TOULON";"CTA TOULON";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560435";"CTA4671";"";"CTA";;;;;"BORDEAUX";"G";"CTA";;"BORDEAUX";"CTA BORDEAUX";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560443";"CTA4675";"";"CTA";;;;;"TOULOUSE";"G";"CTA";;"TOULOUSE";"CTA TOULOUSE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;"True";;;;;;;;"1560447";"OCA4693";"";"OCA";;;;;"NOUVELLE CALEDONIE";"OCA";"OCA";;"NOUVELLE CALEDONIE";"NOUVELLE CALEDONIE";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560449";"NWWM";"";"CTR";;;;;"NOUMEA MAGENTA";"G";"CTR";;"NOUMEA MAGENTA";"CTR NOUMEA MAGENTA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560451";"NWWW";"";"CTR";;;;;"NOUMEA LA TONTOUTA";"G";"CTR";;"NOUMEA LA TONTOUTA";"CTR NOUMEA LA TONTOUTA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"Grouping zone";"True";"False";;"False";"False";"True";;;;;;;;;;;"1560453";"NWWW";"";"TMA";;;;;"NOUMEA";"G";"TMA";;"NOUMEA";"TMA NOUMEA";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
